stress_ratio,cycles_to_failure,stress
0.1000000,1.000000,613.8195
0.1000000,51.00000,406.6242
0.1000000,101.0000,378.5403
0.1000000,151.0000,362.9268
0.1000000,201.0000,352.2156
0.1000000,251.0000,344.1151
0.1000000,301.0000,337.6298
0.1000000,351.0000,332.2389
0.1000000,401.0000,327.6368
0.1000000,451.0000,323.6292
0.1000000,501.0000,320.0849
0.1000000,551.0000,316.9116
0.1000000,601.0000,314.0415
0.1000000,651.0000,311.4239
0.1000000,701.0000,309.0196
0.1000000,751.0000,306.7977
0.1000000,801.0000,304.7335
0.1000000,851.0000,302.8070
0.1000000,901.0000,301.0016
0.1000000,951.0000,299.3037
0.1000000,1000.000,297.7329
0.1000000,10000.00,233.9316
0.1000000,20000.00,217.5503
0.1000000,30000.00,208.5049
0.1000000,40000.00,202.3161
0.1000000,50000.00,197.6424
0.1000000,60000.00,193.9041
0.1000000,70000.00,190.7986
0.1000000,80000.00,188.1487
0.1000000,90000.00,185.8418
0.1000000,100000.0,183.8023
0.1000000,110000.0,181.9766
0.1000000,120000.0,180.3257
0.1000000,130000.0,178.8203
0.1000000,140000.0,177.4377
0.1000000,150000.0,176.1601
0.1000000,160000.0,174.9733
0.1000000,170000.0,173.8658
0.1000000,180000.0,172.8281
0.1000000,190000.0,171.8521
0.1000000,200000.0,170.9313
0.1000000,210000.0,170.0601
0.1000000,220000.0,169.2335
0.1000000,230000.0,168.4474
0.1000000,240000.0,167.6982
0.1000000,250000.0,166.9827
0.1000000,260000.0,166.2982
0.1000000,270000.0,165.6421
0.1000000,280000.0,165.0124
0.1000000,290000.0,164.4070
0.1000000,300000.0,163.8243
0.1000000,310000.0,163.2626
0.1000000,320000.0,162.7206
0.1000000,330000.0,162.1970
0.1000000,340000.0,161.6907
0.1000000,350000.0,161.2005
0.1000000,360000.0,160.7256
0.1000000,370000.0,160.2650
0.1000000,380000.0,159.8180
0.1000000,390000.0,159.3838
0.1000000,400000.0,158.9617
0.1000000,410000.0,158.5511
0.1000000,420000.0,158.1514
0.1000000,430000.0,157.7621
0.1000000,440000.0,157.3827
0.1000000,450000.0,157.0127
0.1000000,460000.0,156.6517
0.1000000,470000.0,156.2992
0.1000000,480000.0,155.9550
0.1000000,490000.0,155.6185
0.1000000,500000.0,155.2896
0.1000000,510000.0,154.9678
0.1000000,520000.0,154.6530
0.1000000,530000.0,154.3447
0.1000000,540000.0,154.0428
0.1000000,550000.0,153.7471
0.1000000,560000.0,153.4572
0.1000000,570000.0,153.1730
0.1000000,580000.0,152.8942
0.1000000,590000.0,152.6207
0.1000000,600000.0,152.3523
0.1000000,610000.0,152.0888
0.1000000,620000.0,151.8300
0.1000000,630000.0,151.5757
0.1000000,640000.0,151.3259
0.1000000,650000.0,151.0804
0.1000000,660000.0,150.8390
0.1000000,670000.0,150.6016
0.1000000,680000.0,150.3681
0.1000000,690000.0,150.1384
0.1000000,700000.0,149.9123
0.1000000,710000.0,149.6897
0.1000000,720000.0,149.4706
0.1000000,730000.0,149.2548
0.1000000,740000.0,149.0423
0.1000000,750000.0,148.8329
0.1000000,760000.0,148.6265
0.1000000,770000.0,148.4232
0.1000000,780000.0,148.2227
0.1000000,790000.0,148.0251
0.1000000,800000.0,147.8302
0.1000000,810000.0,147.6380
0.1000000,820000.0,147.4484
0.1000000,830000.0,147.2613
0.1000000,840000.0,147.0767
0.1000000,850000.0,146.8945
0.1000000,860000.0,146.7147
0.1000000,870000.0,146.5371
0.1000000,880000.0,146.3618
0.1000000,890000.0,146.1887
0.1000000,900000.0,146.0177
0.1000000,910000.0,145.8488
0.1000000,920000.0,145.6820
0.1000000,930000.0,145.5171
0.1000000,940000.0,145.3542
0.1000000,950000.0,145.1932
0.1000000,960000.0,145.0340
0.1000000,970000.0,144.8767
0.1000000,980000.0,144.7211
0.1000000,990000.0,144.5673
0.1000000,1000000.,144.4152
0.1000000,1010000.,144.2648
0.1000000,1020000.,144.1160
0.1000000,1030000.,143.9688
0.1000000,1040000.,143.8232
0.1000000,1050000.,143.6791
0.1000000,1060000.,143.5366
0.1000000,1070000.,143.3955
0.1000000,1080000.,143.2558
0.1000000,1090000.,143.1176
0.1000000,1100000.,142.9808
0.1000000,1110000.,142.8453
0.1000000,1120000.,142.7112
0.1000000,1130000.,142.5784
0.1000000,1140000.,142.4469
0.1000000,1150000.,142.3166
0.1000000,1160000.,142.1876
0.1000000,1170000.,142.0599
0.1000000,1180000.,141.9333
0.1000000,1190000.,141.8079
0.1000000,1200000.,141.6837
0.1000000,1210000.,141.5606
0.1000000,1220000.,141.4386
0.1000000,1230000.,141.3177
0.1000000,1240000.,141.1979
0.1000000,1250000.,141.0792
0.1000000,1260000.,140.9615
0.1000000,1270000.,140.8448
0.1000000,1280000.,140.7292
0.1000000,1290000.,140.6145
0.1000000,1300000.,140.5008
0.1000000,1310000.,140.3881
0.1000000,1320000.,140.2763
0.1000000,1330000.,140.1655
0.1000000,1340000.,140.0556
0.1000000,1350000.,139.9465
0.1000000,1360000.,139.8384
0.1000000,1370000.,139.7311
0.1000000,1380000.,139.6247
0.1000000,1390000.,139.5192
0.1000000,1400000.,139.4145
0.1000000,1410000.,139.3106
0.1000000,1420000.,139.2075
0.1000000,1430000.,139.1052
0.1000000,1440000.,139.0037
0.1000000,1450000.,138.9030
0.1000000,1460000.,138.8031
0.1000000,1470000.,138.7039
0.1000000,1480000.,138.6054
0.1000000,1490000.,138.5077
0.1000000,1500000.,138.4107
0.1000000,1510000.,138.3144
0.1000000,1520000.,138.2188
0.1000000,1530000.,138.1239
0.1000000,1540000.,138.0297
0.1000000,1550000.,137.9361
0.1000000,1560000.,137.8433
0.1000000,1570000.,137.7510
0.1000000,1580000.,137.6595
0.1000000,1590000.,137.5685
0.1000000,1600000.,137.4782
0.1000000,1610000.,137.3885
0.1000000,1620000.,137.2995
0.1000000,1630000.,137.2110
0.1000000,1640000.,137.1231
0.1000000,1650000.,137.0359
0.1000000,1660000.,136.9492
0.1000000,1670000.,136.8630
0.1000000,1680000.,136.7775
0.1000000,1690000.,136.6925
0.1000000,1700000.,136.6080
0.1000000,1710000.,136.5242
0.1000000,1720000.,136.4408
0.1000000,1730000.,136.3580
0.1000000,1740000.,136.2757
0.1000000,1750000.,136.1939
0.1000000,1760000.,136.1127
0.1000000,1770000.,136.0319
0.1000000,1780000.,135.9517
0.1000000,1790000.,135.8719
0.1000000,1800000.,135.7927
0.1000000,1810000.,135.7139
0.1000000,1820000.,135.6356
0.1000000,1830000.,135.5578
0.1000000,1840000.,135.4804
0.1000000,1850000.,135.4035
0.1000000,1860000.,135.3271
0.1000000,1870000.,135.2511
0.1000000,1880000.,135.1756
0.1000000,1890000.,135.1005
0.1000000,1900000.,135.0259
0.1000000,1910000.,134.9516
0.1000000,1920000.,134.8779
0.1000000,1930000.,134.8045
0.1000000,1940000.,134.7315
0.1000000,1950000.,134.6590
0.1000000,1960000.,134.5869
0.1000000,1970000.,134.5152
0.1000000,1980000.,134.4438
0.1000000,1990000.,134.3729
0.1000000,2000000.,134.3024
0.1000000,2000000.,134.3024
0.1000000,3000000.,128.7183
0.1000000,4000000.,124.8977
0.1000000,5000000.,122.0125
0.1000000,6000000.,119.7047
0.1000000,7000000.,117.7875
0.1000000,8000000.,116.1516
0.1000000,9000000.,114.7275
0.1000000,1.0000000E+07,113.4684
0.1000000,1.1000000E+07,112.3414
0.1000000,1.2000000E+07,111.3222
0.1000000,1.3000000E+07,110.3928
0.1000000,1.4000000E+07,109.5393
0.1000000,1.5000000E+07,108.7506
0.1000000,1.6000000E+07,108.0180
0.1000000,1.7000000E+07,107.3343
0.1000000,1.8000000E+07,106.6936
0.1000000,1.9000000E+07,106.0911
0.1000000,2.0000000E+07,105.5227
-1.000000,1.000000,164.3065
-1.000000,51.00000,134.1009
-1.000000,101.0000,129.4493
-1.000000,151.0000,126.7874
-1.000000,201.0000,124.9275
-1.000000,251.0000,123.5019
-1.000000,301.0000,122.3482
-1.000000,351.0000,121.3806
-1.000000,401.0000,120.5483
-1.000000,451.0000,119.8186
-1.000000,501.0000,119.1695
-1.000000,551.0000,118.5853
-1.000000,601.0000,118.0543
-1.000000,651.0000,117.5679
-1.000000,701.0000,117.1192
-1.000000,751.0000,116.7031
-1.000000,801.0000,116.3151
-1.000000,851.0000,115.9518
-1.000000,901.0000,115.6102
-1.000000,951.0000,115.2881
-1.000000,1000.000,114.9892
-1.000000,10000.00,102.0919
-1.000000,20000.00,98.50046
-1.000000,30000.00,96.45847
-1.000000,40000.00,95.03537
-1.000000,50000.00,93.94601
-1.000000,60000.00,93.06521
-1.000000,70000.00,92.32695
-1.000000,80000.00,91.69218
-1.000000,90000.00,91.13589
-1.000000,100000.0,90.64114
-1.000000,110000.0,90.19589
-1.000000,120000.0,89.79133
-1.000000,130000.0,89.42076
-1.000000,140000.0,89.07904
-1.000000,150000.0,88.76208
-1.000000,160000.0,88.46660
-1.000000,170000.0,88.18993
-1.000000,180000.0,87.92988
-1.000000,190000.0,87.68459
-1.000000,200000.0,87.45253
-1.000000,210000.0,87.23236
-1.000000,220000.0,87.02295
-1.000000,230000.0,86.82332
-1.000000,240000.0,86.63261
-1.000000,250000.0,86.45009
-1.000000,260000.0,86.27509
-1.000000,270000.0,86.10702
-1.000000,280000.0,85.94538
-1.000000,290000.0,85.78970
-1.000000,300000.0,85.63956
-1.000000,310000.0,85.49461
-1.000000,320000.0,85.35448
-1.000000,330000.0,85.21889
-1.000000,340000.0,85.08755
-1.000000,350000.0,84.96021
-1.000000,360000.0,84.83665
-1.000000,370000.0,84.71664
-1.000000,380000.0,84.59999
-1.000000,390000.0,84.48653
-1.000000,400000.0,84.37609
-1.000000,410000.0,84.26852
-1.000000,420000.0,84.16367
-1.000000,430000.0,84.06141
-1.000000,440000.0,83.96162
-1.000000,450000.0,83.86419
-1.000000,460000.0,83.76901
-1.000000,470000.0,83.67599
-1.000000,480000.0,83.58501
-1.000000,490000.0,83.49602
-1.000000,500000.0,83.40891
-1.000000,510000.0,83.32362
-1.000000,520000.0,83.24007
-1.000000,530000.0,83.15819
-1.000000,540000.0,83.07791
-1.000000,550000.0,82.99919
-1.000000,560000.0,82.92196
-1.000000,570000.0,82.84617
-1.000000,580000.0,82.77176
-1.000000,590000.0,82.69868
-1.000000,600000.0,82.62691
-1.000000,610000.0,82.55637
-1.000000,620000.0,82.48705
-1.000000,630000.0,82.41888
-1.000000,640000.0,82.35185
-1.000000,650000.0,82.28591
-1.000000,660000.0,82.22102
-1.000000,670000.0,82.15717
-1.000000,680000.0,82.09431
-1.000000,690000.0,82.03241
-1.000000,700000.0,81.97145
-1.000000,710000.0,81.91140
-1.000000,720000.0,81.85223
-1.000000,730000.0,81.79392
-1.000000,740000.0,81.73644
-1.000000,750000.0,81.67978
-1.000000,760000.0,81.62390
-1.000000,770000.0,81.56879
-1.000000,780000.0,81.51443
-1.000000,790000.0,81.46080
-1.000000,800000.0,81.40788
-1.000000,810000.0,81.35564
-1.000000,820000.0,81.30408
-1.000000,830000.0,81.25318
-1.000000,840000.0,81.20292
-1.000000,850000.0,81.15328
-1.000000,860000.0,81.10426
-1.000000,870000.0,81.05583
-1.000000,880000.0,81.00799
-1.000000,890000.0,80.96071
-1.000000,900000.0,80.91398
-1.000000,910000.0,80.86780
-1.000000,920000.0,80.82215
-1.000000,930000.0,80.77702
-1.000000,940000.0,80.73240
-1.000000,950000.0,80.68827
-1.000000,960000.0,80.64463
-1.000000,970000.0,80.60146
-1.000000,980000.0,80.55876
-1.000000,990000.0,80.51652
-1.000000,1000000.,80.47472
-1.000000,1010000.,80.43336
-1.000000,1020000.,80.39243
-1.000000,1030000.,80.35191
-1.000000,1040000.,80.31181
-1.000000,1050000.,80.27212
-1.000000,1060000.,80.23281
-1.000000,1070000.,80.19390
-1.000000,1080000.,80.15536
-1.000000,1090000.,80.11721
-1.000000,1100000.,80.07941
-1.000000,1110000.,80.04198
-1.000000,1120000.,80.00490
-1.000000,1130000.,79.96816
-1.000000,1140000.,79.93177
-1.000000,1150000.,79.89571
-1.000000,1160000.,79.85998
-1.000000,1170000.,79.82457
-1.000000,1180000.,79.78948
-1.000000,1190000.,79.75470
-1.000000,1200000.,79.72022
-1.000000,1210000.,79.68605
-1.000000,1220000.,79.65217
-1.000000,1230000.,79.61858
-1.000000,1240000.,79.58528
-1.000000,1250000.,79.55226
-1.000000,1260000.,79.51952
-1.000000,1270000.,79.48705
-1.000000,1280000.,79.45484
-1.000000,1290000.,79.42290
-1.000000,1300000.,79.39122
-1.000000,1310000.,79.35979
-1.000000,1320000.,79.32862
-1.000000,1330000.,79.29770
-1.000000,1340000.,79.26701
-1.000000,1350000.,79.23657
-1.000000,1360000.,79.20636
-1.000000,1370000.,79.17639
-1.000000,1380000.,79.14664
-1.000000,1390000.,79.11713
-1.000000,1400000.,79.08783
-1.000000,1410000.,79.05875
-1.000000,1420000.,79.02988
-1.000000,1430000.,79.00124
-1.000000,1440000.,78.97280
-1.000000,1450000.,78.94456
-1.000000,1460000.,78.91654
-1.000000,1470000.,78.88872
-1.000000,1480000.,78.86108
-1.000000,1490000.,78.83366
-1.000000,1500000.,78.80641
-1.000000,1510000.,78.77937
-1.000000,1520000.,78.75250
-1.000000,1530000.,78.72583
-1.000000,1540000.,78.69933
-1.000000,1550000.,78.67302
-1.000000,1560000.,78.64688
-1.000000,1570000.,78.62093
-1.000000,1580000.,78.59514
-1.000000,1590000.,78.56952
-1.000000,1600000.,78.54408
-1.000000,1610000.,78.51880
-1.000000,1620000.,78.49368
-1.000000,1630000.,78.46873
-1.000000,1640000.,78.44394
-1.000000,1650000.,78.41930
-1.000000,1660000.,78.39483
-1.000000,1670000.,78.37051
-1.000000,1680000.,78.34634
-1.000000,1690000.,78.32231
-1.000000,1700000.,78.29845
-1.000000,1710000.,78.27472
-1.000000,1720000.,78.25114
-1.000000,1730000.,78.22771
-1.000000,1740000.,78.20441
-1.000000,1750000.,78.18127
-1.000000,1760000.,78.15826
-1.000000,1770000.,78.13538
-1.000000,1780000.,78.11264
-1.000000,1790000.,78.09003
-1.000000,1800000.,78.06756
-1.000000,1810000.,78.04521
-1.000000,1820000.,78.02300
-1.000000,1830000.,78.00092
-1.000000,1840000.,77.97896
-1.000000,1850000.,77.95712
-1.000000,1860000.,77.93542
-1.000000,1870000.,77.91383
-1.000000,1880000.,77.89236
-1.000000,1890000.,77.87102
-1.000000,1900000.,77.84978
-1.000000,1910000.,77.82867
-1.000000,1920000.,77.80768
-1.000000,1930000.,77.78680
-1.000000,1940000.,77.76603
-1.000000,1950000.,77.74538
-1.000000,1960000.,77.72484
-1.000000,1970000.,77.70440
-1.000000,1980000.,77.68407
-1.000000,1990000.,77.66386
-1.000000,2000000.,77.64375
-1.000000,2000000.,77.64375
-1.000000,3000000.,76.03413
-1.000000,4000000.,74.91237
-1.000000,5000000.,74.05367
-1.000000,6000000.,73.35938
-1.000000,7000000.,72.77744
-1.000000,8000000.,72.27707
-1.000000,9000000.,71.83857
-1.000000,1.0000000E+07,71.44858
-1.000000,1.1000000E+07,71.09761
-1.000000,1.2000000E+07,70.77871
-1.000000,1.3000000E+07,70.48661
-1.000000,1.4000000E+07,70.21724
-1.000000,1.5000000E+07,69.96739
-1.000000,1.6000000E+07,69.73448
-1.000000,1.7000000E+07,69.51640
-1.000000,1.8000000E+07,69.31141
-1.000000,1.9000000E+07,69.11806
-1.000000,2.0000000E+07,68.93513
10.00000,1.000000,304.5237
10.00000,51.00000,247.1712
10.00000,101.0000,238.3685
10.00000,151.0000,233.3349
10.00000,201.0000,229.8197
10.00000,251.0000,227.1261
10.00000,301.0000,224.9469
10.00000,351.0000,223.1198
10.00000,401.0000,221.5484
10.00000,451.0000,220.1710
10.00000,501.0000,218.9459
10.00000,551.0000,217.8433
10.00000,601.0000,216.8414
10.00000,651.0000,215.9237
10.00000,701.0000,215.0774
10.00000,751.0000,214.2924
10.00000,801.0000,213.5606
10.00000,851.0000,212.8755
10.00000,901.0000,212.2314
10.00000,951.0000,211.6240
10.00000,1000.000,211.0604
10.00000,10000.00,186.7822
10.00000,20000.00,180.0360
10.00000,30000.00,176.2033
10.00000,40000.00,173.5335
10.00000,50000.00,171.4905
10.00000,60000.00,169.8392
10.00000,70000.00,168.4554
10.00000,80000.00,167.2658
10.00000,90000.00,166.2235
10.00000,100000.0,165.2966
10.00000,110000.0,164.4626
10.00000,120000.0,163.7049
10.00000,130000.0,163.0110
10.00000,140000.0,162.3711
10.00000,150000.0,161.7777
10.00000,160000.0,161.2245
10.00000,170000.0,160.7066
10.00000,180000.0,160.2199
10.00000,190000.0,159.7608
10.00000,200000.0,159.3265
10.00000,210000.0,158.9144
10.00000,220000.0,158.5226
10.00000,230000.0,158.1491
10.00000,240000.0,157.7923
10.00000,250000.0,157.4508
10.00000,260000.0,157.1234
10.00000,270000.0,156.8090
10.00000,280000.0,156.5066
10.00000,290000.0,156.2154
10.00000,300000.0,155.9346
10.00000,310000.0,155.6635
10.00000,320000.0,155.4014
10.00000,330000.0,155.1478
10.00000,340000.0,154.9022
10.00000,350000.0,154.6641
10.00000,360000.0,154.4331
10.00000,370000.0,154.2087
10.00000,380000.0,153.9906
10.00000,390000.0,153.7784
10.00000,400000.0,153.5719
10.00000,410000.0,153.3708
10.00000,420000.0,153.1748
10.00000,430000.0,152.9836
10.00000,440000.0,152.7971
10.00000,450000.0,152.6150
10.00000,460000.0,152.4370
10.00000,470000.0,152.2632
10.00000,480000.0,152.0931
10.00000,490000.0,151.9268
10.00000,500000.0,151.7640
10.00000,510000.0,151.6046
10.00000,520000.0,151.4484
10.00000,530000.0,151.2954
10.00000,540000.0,151.1454
10.00000,550000.0,150.9983
10.00000,560000.0,150.8539
10.00000,570000.0,150.7123
10.00000,580000.0,150.5733
10.00000,590000.0,150.4367
10.00000,600000.0,150.3026
10.00000,610000.0,150.1708
10.00000,620000.0,150.0413
10.00000,630000.0,149.9139
10.00000,640000.0,149.7887
10.00000,650000.0,149.6655
10.00000,660000.0,149.5442
10.00000,670000.0,149.4249
10.00000,680000.0,149.3075
10.00000,690000.0,149.1919
10.00000,700000.0,149.0780
10.00000,710000.0,148.9658
10.00000,720000.0,148.8553
10.00000,730000.0,148.7463
10.00000,740000.0,148.6390
10.00000,750000.0,148.5331
10.00000,760000.0,148.4287
10.00000,770000.0,148.3258
10.00000,780000.0,148.2243
10.00000,790000.0,148.1241
10.00000,800000.0,148.0252
10.00000,810000.0,147.9277
10.00000,820000.0,147.8314
10.00000,830000.0,147.7363
10.00000,840000.0,147.6424
10.00000,850000.0,147.5497
10.00000,860000.0,147.4582
10.00000,870000.0,147.3677
10.00000,880000.0,147.2784
10.00000,890000.0,147.1901
10.00000,900000.0,147.1028
10.00000,910000.0,147.0166
10.00000,920000.0,146.9313
10.00000,930000.0,146.8471
10.00000,940000.0,146.7637
10.00000,950000.0,146.6813
10.00000,960000.0,146.5998
10.00000,970000.0,146.5192
10.00000,980000.0,146.4395
10.00000,990000.0,146.3606
10.00000,1000000.,146.2826
10.00000,1010000.,146.2054
10.00000,1020000.,146.1289
10.00000,1030000.,146.0533
10.00000,1040000.,145.9784
10.00000,1050000.,145.9043
10.00000,1060000.,145.8309
10.00000,1070000.,145.7583
10.00000,1080000.,145.6863
10.00000,1090000.,145.6151
10.00000,1100000.,145.5445
10.00000,1110000.,145.4746
10.00000,1120000.,145.4054
10.00000,1130000.,145.3368
10.00000,1140000.,145.2689
10.00000,1150000.,145.2016
10.00000,1160000.,145.1349
10.00000,1170000.,145.0688
10.00000,1180000.,145.0033
10.00000,1190000.,144.9383
10.00000,1200000.,144.8740
10.00000,1210000.,144.8102
10.00000,1220000.,144.7469
10.00000,1230000.,144.6842
10.00000,1240000.,144.6221
10.00000,1250000.,144.5604
10.00000,1260000.,144.4993
10.00000,1270000.,144.4387
10.00000,1280000.,144.3786
10.00000,1290000.,144.3190
10.00000,1300000.,144.2599
10.00000,1310000.,144.2012
10.00000,1320000.,144.1430
10.00000,1330000.,144.0853
10.00000,1340000.,144.0280
10.00000,1350000.,143.9712
10.00000,1360000.,143.9148
10.00000,1370000.,143.8589
10.00000,1380000.,143.8034
10.00000,1390000.,143.7483
10.00000,1400000.,143.6936
10.00000,1410000.,143.6393
10.00000,1420000.,143.5855
10.00000,1430000.,143.5320
10.00000,1440000.,143.4789
10.00000,1450000.,143.4262
10.00000,1460000.,143.3739
10.00000,1470000.,143.3220
10.00000,1480000.,143.2704
10.00000,1490000.,143.2192
10.00000,1500000.,143.1684
10.00000,1510000.,143.1179
10.00000,1520000.,143.0678
10.00000,1530000.,143.0180
10.00000,1540000.,142.9686
10.00000,1550000.,142.9195
10.00000,1560000.,142.8707
10.00000,1570000.,142.8223
10.00000,1580000.,142.7742
10.00000,1590000.,142.7264
10.00000,1600000.,142.6789
10.00000,1610000.,142.6317
10.00000,1620000.,142.5848
10.00000,1630000.,142.5383
10.00000,1640000.,142.4920
10.00000,1650000.,142.4461
10.00000,1660000.,142.4004
10.00000,1670000.,142.3550
10.00000,1680000.,142.3099
10.00000,1690000.,142.2651
10.00000,1700000.,142.2206
10.00000,1710000.,142.1763
10.00000,1720000.,142.1323
10.00000,1730000.,142.0886
10.00000,1740000.,142.0451
10.00000,1750000.,142.0019
10.00000,1760000.,141.9590
10.00000,1770000.,141.9163
10.00000,1780000.,141.8739
10.00000,1790000.,141.8317
10.00000,1800000.,141.7898
10.00000,1810000.,141.7481
10.00000,1820000.,141.7067
10.00000,1830000.,141.6655
10.00000,1840000.,141.6245
10.00000,1850000.,141.5838
10.00000,1860000.,141.5433
10.00000,1870000.,141.5030
10.00000,1880000.,141.4629
10.00000,1890000.,141.4231
10.00000,1900000.,141.3835
10.00000,1910000.,141.3441
10.00000,1920000.,141.3050
10.00000,1930000.,141.2660
10.00000,1940000.,141.2273
10.00000,1950000.,141.1887
10.00000,1960000.,141.1504
10.00000,1970000.,141.1123
10.00000,1980000.,141.0744
10.00000,1990000.,141.0367
10.00000,2000000.,140.9992
10.00000,2000000.,140.9992
10.00000,3000000.,137.9975
10.00000,4000000.,135.9066
10.00000,5000000.,134.3066
10.00000,6000000.,133.0133
10.00000,7000000.,131.9296
10.00000,8000000.,130.9979
10.00000,9000000.,130.1816
10.00000,1.0000000E+07,129.4557
10.00000,1.1000000E+07,128.8025
10.00000,1.2000000E+07,128.2091
10.00000,1.3000000E+07,127.6656
10.00000,1.4000000E+07,127.1645
10.00000,1.5000000E+07,126.6998
10.00000,1.6000000E+07,126.2665
10.00000,1.7000000E+07,125.8609
10.00000,1.8000000E+07,125.4797
10.00000,1.9000000E+07,125.1202
10.00000,2.0000000E+07,124.7800
