stress_ratio,cycles_to_failure,stress_max,s
0.1,1,124.39952897184061,60.12679350825758
0.1,51,87.51345415040225,41.67119273090092
0.1,101,82.31733545504991,39.10449183435676
0.1,151,79.40362061874366,37.66910761760205
0.1,201,77.39389885726547,36.68072155011066
0.1,251,75.86794329791391,35.93117303405103
0.1,301,74.64237049234164,35.32975368211079
0.1,351,73.62095282737633,34.82891747637206
0.1,401,72.7470366902171,34.40069646744999
0.1,451,71.98451071584682,34.02727685116158
0.1,501,71.3089745716103,33.69662955042392
0.1,551,70.70318614550047,33.40025915950003
0.1,601,70.15452142948679,33.131948774589034
0.1,651,69.65346711828501,32.88701552043832
0.1,701,69.19268053303125,32.661846485801725
0.1,751,68.76637890379781,32.45359737460214
0.1,801,68.36992879732732,32.25998999504479
0.1,851,67.99956193728018,32.07917214135634
0.1,901,67.6521735068975,31.909618177864328
0.1,951,67.32517582915155,31.750056941035663
0.1,1000,67.02239984342589,31.602349876350516
0.1,10000,54.50684237836949,25.527243779999143
0.1,20000,51.21626810174917,23.940351030062015
0.1,30000,49.383820342284714,23.058621622793115
0.1,40000,48.12338192590647,22.452967687891235
0.1,50000,47.16779864146425,21.99426181371471
0.1,60000,46.40106466597617,21.62649991434549
0.1,70000,45.762485427681355,21.320406690538324
0.1,80000,45.21639691316626,21.058792422429615
0.1,90000,44.74009857332466,20.830722269417567
0.1,100000,44.318268033965886,20.628819297283787
0.1,110000,43.94008703021978,20.44787745288671
0.1,120000,43.59764019795848,20.284089196155602
0.1,130000,43.2849659411692,20.134587868282885
0.1,140000,42.99746506706334,19.997162670670562
0.1,150000,42.7315169069994,19.87007371102427
0.1,160000,42.48422141323186,19.751927784808927
0.1,170000,42.25322075114888,19.641592470971936
0.1,180000,42.03657273638849,19.538135207984496
0.1,190000,41.832659060523085,19.440779127476652
0.1,200000,41.64011744816626,19.348870412697444
0.1,210000,41.45779064154475,19.261853758784852
0.1,220000,41.28468744992658,19.17925364053278
0.1,230000,41.11995260111978,19.100659816202437
0.1,240000,40.96284311598848,19.02571596994688
0.1,250000,40.81270958599844,18.95411071292978
0.1,260000,40.66898118389442,18.88557038001374
0.1,270000,40.53115355037756,18.819853209515383
0.1,280000,40.398778920464764,18.75674459984491
0.1,290000,40.27145801138576,18.696053212995285
0.1,300000,40.148833308699004,18.63760775011562
0.1,310000,40.03058347169715,18.58125426501717
0.1,320000,39.91641864190344,18.526853911645546
0.1,330000,39.806076485586914,18.474281044226608
0.1,340000,39.69931883697887,18.423421605993273
0.1,350000,39.59592883624798,18.37417175556781
0.1,360000,39.49570847743412,18.326436690242197
0.1,370000,39.398476497999155,18.28012963331344
0.1,380000,39.3040665545646,18.235170958838957
0.1,390000,39.21232563960521,18.19148743208024
0.1,400000,39.123112701980354,18.149011547803056
0.1,410000,39.03629744067769,18.107680951723026
0.1,420000,38.9517592463719,18.067437932898155
0.1,430000,38.86938626963499,18.028228976904416
0.1,440000,38.789074598081136,17.990004371286492
0.1,450000,38.71072752755024,17.952717856131255
0.1,460000,38.63425491475311,17.91632631372552
0.1,470000,38.559572600718184,17.880789492180437
0.1,480000,38.48660189596911,17.846069758668236
0.1,490000,38.415269119687764,17.81213187855381
0.1,500000,38.34550518622608,17.778942817235645
0.1,510000,38.27724523326078,17.746471561958
0.1,520000,38.210428286670506,17.71468896123302
0.1,530000,38.144996957878526,17.68356757983025
0.1,540000,38.08089716996799,17.65308156756174
0.1,550000,38.01807790935727,17.623206540321416
0.1,560000,37.95649100023224,17.59391947203411
0.1,570000,37.89609089928469,17.565198596338526
0.1,580000,37.83683450860726,17.537023316973215
0.1,590000,37.77868100485658,17.509374125959745
0.1,600000,37.72159168302008,17.482232528784905
0.1,610000,37.66552981331791,17.45558097587761
0.1,620000,37.61046050993987,17.429402799757145
0.1,630000,37.556350610464946,17.403682157300167
0.1,640000,37.503168564939685,17.378403976635592
0.1,650000,37.45088433370397,17.353553908230424
0.1,660000,37.399469293151384,17.329118279776882
0.1,670000,37.34889614869799,17.305084054532678
0.1,680000,37.29913885430961,17.28143879280298
0.1,690000,37.25017253800486,17.25817061628467
0.1,700000,37.20197343281061,17.235268175022156
0.1,710000,37.15451881269922,17.21272061674912
0.1,720000,37.10778693308335,17.19051755841292
0.1,730000,37.06175697548595,17.16864905969846
0.1,740000,37.01640899603951,17.14710559838567
0.1,750000,36.97172387750169,17.125878047390813
0.1,760000,36.92768328450422,17.10495765335582
0.1,770000,36.88426962177725,17.084336016662302
0.1,780000,36.84146599511599,17.06400507275838
0.1,790000,36.79925617487673,17.043957074696465
0.1,800000,36.757624561808676,17.024184576789178
0.1,810000,36.71655615504496,17.004680419298865
0.1,820000,36.676036522091586,16.985437714083425
0.1,830000,36.636051770666946,16.96644983112791
0.1,840000,36.59658852225693,16.947710385897235
0.1,850000,36.55763388726217,16.92921322745085
0.1,860000,36.5191754416238,16.910952427265045
0.1,870000,36.48120120482422,16.89292226871319
0.1,880000,36.44369961916656,16.87511723715794
0.1,890000,36.40665953024542,16.857532010613422
0.1,900000,36.37007016852756,16.840161450938552
0.1,910000,36.33392113196812,16.823000595525805
0.1,920000,36.298202369593206,16.806044649452343
0.1,930000,36.262904165985546,16.789288978063173
0.1,940000,36.22801712661415,16.772729099958127
0.1,950000,36.19353216395387,16.756360680356675
0.1,960000,36.15944048434431,16.740179524816437
0.1,970000,36.12573357554151,16.724181573283072
0.1,980000,36.09240319491921,16.708362894450904
0.1,990000,36.05944135827953,16.692719680414992
0.1,1000000,36.02684032923569,16.677248241596853
0.1,1010000,35.994592609132226,16.66194500192721
0.1,1020000,35.962690927470476,16.646806494270415
0.1,1030000,35.93112823280925,16.631829356076096
0.1,1040000,35.899897684112766,16.617010325244735
0.1,1050000,35.86899264251983,16.602346236194638
0.1,1060000,35.83840666350997,16.58783401611875
0.1,1070000,35.80813348944372,16.573470681420364
0.1,1080000,35.77816704245599,16.559253334317667
0.1,1090000,35.748501417682704,16.545179159607617
0.1,1100000,35.71913087680208,16.531245421580273
0.1,1110000,35.69004984187332,16.517449461075277
0.1,1120000,35.661252889456414,16.503788692672803
0.1,1130000,35.632734744997904,16.49026060201156
0.1,1140000,35.60449027746829,16.47686274322718
0.1,1150000,35.57651449423768,16.463592736504427
0.1,1160000,35.548802536177256,16.45044826573738
0.1,1170000,35.52134967297456,16.43742707629182
0.1,1180000,35.49415129865171,16.424526972864616
0.1,1190000,35.46720292727604,16.411745817435072
0.1,1200000,35.440500188853235,16.3990815273035
0.1,1210000,35.414038825394094,16.3865320732128
0.1,1220000,35.387814687145756,16.374095477548597
0.1,1230000,35.361823728979644,16.361769812614316
0.1,1240000,35.336062006928096,16.349553198977297
0.1,1250000,35.310525674862625,16.337443803882575
0.1,1260000,35.28521098130669,16.32543983973098
0.1,1270000,35.26011426637691,16.31353956261855
0.1,1280000,35.23523195884603,16.301741270934205
0.1,1290000,35.2105605733225,16.290043304013054
0.1,1300000,35.186096707540564,16.278444040842558
0.1,1310000,35.161837039756236,16.266941898819283
0.1,1320000,35.137778326243904,16.255535332553706
0.1,1330000,35.11391739888904,16.244222832720958
0.1,1340000,35.090251162872825,16.233002924955457
0.1,1350000,35.06677659444417,16.22187416878734
0.1,1360000,35.04349073877548,16.210835156618835
0.1,1370000,35.020390707898365,16.199884512738873
0.1,1380000,34.99747367871569,16.189020892374163
0.1,1390000,34.9747368910867,16.17824298077514
0.1,1400000,34.95217764598193,16.16754949233529
0.1,1410000,34.92979330370499,16.156939169742394
0.1,1420000,34.90758128217828,16.146410783160313
0.1,1430000,34.885539055289854,16.135963129439975
0.1,1440000,34.863664151298956,16.125595031358397
0.1,1450000,34.841954151297784,16.115305336884543
0.1,1460000,34.8204066877268,16.10509291847078
0.1,1470000,34.79901944294188,16.094956672369072
0.1,1480000,34.77779014783068,16.084895517970683
0.1,1490000,34.75671658047655,16.074908397168592
0.1,1500000,34.73579656486787,16.064994273741597
0.1,1510000,34.715027969650976,16.05515213275923
0.1,1520000,34.694408706925046,16.04538098000671
0.1,1530000,34.67393673107716,16.035679841429083
0.1,1540000,34.653610037655966,16.0260477625938
0.1,1550000,34.63342666228243,16.016483808170996
0.1,1560000,34.613384679596265,16.006987061430806
0.1,1570000,34.59348220223664,15.99755662375703
0.1,1580000,34.573717379855665,15.988191614176495
0.1,1590000,34.554088398163756,15.978891168903594
0.1,1600000,34.53459347800531,15.969654440899305
0.1,1610000,34.51523087446371,15.960480599444221
0.1,1620000,34.4959988759946,15.95136882972508
0.1,1630000,34.476895803586146,15.94231833243416
0.1,1640000,34.45792000994563,15.933328323381264
0.1,1650000,34.43906987871103,15.924398033117628
0.1,1660000,34.42034382368692,15.915526706571411
0.1,1670000,34.40174028810375,15.906713602694404
0.1,1680000,34.383257743899556,15.897957994119386
0.1,1690000,34.36489469102334,15.889259166827863
0.1,1700000,34.34664965675956,15.880616419827856
0.1,1710000,34.328521195072476,15.872029064841193
0.1,1720000,34.31050788597018,15.863496426000175
0.1,1730000,34.29260833488734,15.855017839553184
0.1,1740000,34.27482117208595,15.846592653578883
0.1,1750000,34.257145052073696,15.838220227708817
0.1,1760000,34.23957865303903,15.829899932858012
0.1,1770000,34.222120676302694,15.821631150963377
0.1,1780000,34.20476984578481,15.813413274729607
0.1,1790000,34.1875249074873,15.805245707382312
0.1,1800000,34.170384628990874,15.79712786242818
0.1,1810000,34.153347798966266,15.789059163421891
0.1,1820000,34.13641322669911,15.781039043739561
0.1,1830000,34.119579741628144,15.773066946358526
0.1,1840000,34.10284619289612,15.765142323643218
0.1,1850000,34.08621144891322,15.75726463713698
0.1,1860000,34.069674396932285,15.749433357359543
0.1,1870000,34.05323394263585,15.741647963610093
0.1,1880000,34.03688900973416,15.733907943775662
0.1,1890000,34.02063853957421,15.726212794144667
0.1,1900000,34.00448149075917,15.718562019225494
0.1,1910000,33.98841683877804,15.710955131569936
0.1,1920000,33.972443575645165,15.703391651601287
0.1,1930000,33.956560709549144,15.69587110744702
0.1,1940000,33.940767264511166,15.688393034775862
0.1,1950000,33.92506228005215,15.68095697663912
0.1,1960000,33.90944481086857,15.67356248331614
0.1,1970000,33.893913926516696,15.666209112163784
0.1,1980000,33.87846871110498,15.658896427469797
0.1,1990000,33.86310826299431,15.6516240003099
0.1,2000000,33.84783169450589,15.644391408408557
0.1,3000000,32.63457498445667,15.070374933601773
0.1,4000000,31.80012210656928,14.676032430678177
0.1,5000000,31.16753701990236,14.377337942749653
0.1,6000000,30.65999536513286,14.137844157972802
0.1,7000000,30.2373048680926,13.93849710795548
0.1,8000000,29.875849784102336,13.768107984266475
0.1,9000000,29.560599042343185,13.619558860232978
0.1,10000000,29.281407358675885,13.488047544857945
0.1,11000000,29.031111943145415,13.370184879523553
0.1,12000000,28.80447216671945,13.263492041596264
0.1,13000000,28.5975410564191,13.16610268168553
0.1,14000000,28.407273710496582,13.076577402448784
0.1,15000000,28.231273110822226,12.993783367267268
0.1,16000000,28.06761935458201,12.916813440578732
0.1,17000000,27.914751525575237,12.844930267117306
0.1,18000000,27.77138389500456,12.777526611407513
0.1,19000000,27.636445157366573,12.714096605446546
0.1,20000000,27.509033512158908,12.654214498543665
